---,Level,RangedDefense
Dexterity_1,1,0.333333333
Dexterity_2,2,0.666666667
Dexterity_3,3,1
Dexterity_4,4,1.333333333
Dexterity_5,5,1.666666667
Dexterity_6,6,2
Dexterity_7,7,2.333333333
Dexterity_8,8,2.666666667
Dexterity_9,9,3
Dexterity_10,10,3.333333333
Dexterity_11,11,3.666666667
Dexterity_12,12,4
Dexterity_13,13,4.333333333
Dexterity_14,14,4.666666667
Dexterity_15,15,5
Dexterity_16,16,5.333333333
Dexterity_17,17,5.666666667
Dexterity_18,18,6
Dexterity_19,19,6.333333333
Dexterity_20,20,6.666666667
Dexterity_21,21,7
Dexterity_22,22,7.333333333
Dexterity_23,23,7.666666667
Dexterity_24,24,8
Dexterity_25,25,8.333333333
Dexterity_26,26,8.666666667
Dexterity_27,27,9
Dexterity_28,28,9.333333333
Dexterity_29,29,9.666666667
Dexterity_30,30,10
Dexterity_31,31,10.5
Dexterity_32,32,11
Dexterity_33,33,11.5
Dexterity_34,34,12
Dexterity_35,35,12.5
Dexterity_36,36,13
Dexterity_37,37,13.5
Dexterity_38,38,14
Dexterity_39,39,14.5
Dexterity_40,40,15
Dexterity_41,41,15.75018755
Dexterity_42,42,16.50037509
Dexterity_43,43,17.25056264
Dexterity_44,44,18.00075019
Dexterity_45,45,18.75093773
Dexterity_46,46,19.50112528
Dexterity_47,47,20.25131283
Dexterity_48,48,21.00150038
Dexterity_49,49,21.75168792
Dexterity_50,50,22.50187547
Dexterity_51,51,23.25206302
Dexterity_52,52,24.00225056
Dexterity_53,53,24.75243811
Dexterity_54,54,25.50262566
Dexterity_55,55,26.2528132
Dexterity_56,56,27.00300075
Dexterity_57,57,27.7531883
Dexterity_58,58,28.50337584
Dexterity_59,59,29.25356339
Dexterity_60,60,30
Dexterity_61,61,30.25641026
Dexterity_62,62,30.51282051
Dexterity_63,63,30.76923077
Dexterity_64,64,31.02564103
Dexterity_65,65,31.28205128
Dexterity_66,66,31.53846154
Dexterity_67,67,31.79487179
Dexterity_68,68,32.05128205
Dexterity_69,69,32.30769231
Dexterity_70,70,32.56410256
Dexterity_71,71,32.82051282
Dexterity_72,72,33.07692308
Dexterity_73,73,33.33333333
Dexterity_74,74,33.58974359
Dexterity_75,75,33.84615385
Dexterity_76,76,34.1025641
Dexterity_77,77,34.35897436
Dexterity_78,78,34.61538462
Dexterity_79,79,34.87179487
Dexterity_80,80,35.12820513
Dexterity_81,81,35.38461538
Dexterity_82,82,35.64102564
Dexterity_83,83,35.8974359
Dexterity_84,84,36.15384615
Dexterity_85,85,36.41025641
Dexterity_86,86,36.66666667
Dexterity_87,87,36.92307692
Dexterity_88,88,37.17948718
Dexterity_89,89,37.43589744
Dexterity_90,90,37.69230769
Dexterity_91,91,37.94871795
Dexterity_92,92,38.20512821
Dexterity_93,93,38.46153846
Dexterity_94,94,38.71794872
Dexterity_95,95,38.97435897
Dexterity_96,96,39.23076923
Dexterity_97,97,39.48717949
Dexterity_98,98,39.74358974
Dexterity_99,99,40
