---,Level,MeleeDefense
Strength_1,1,0.333333333
Strength_2,2,0.666666667
Strength_3,3,1
Strength_4,4,1.333333333
Strength_5,5,1.666666667
Strength_6,6,2
Strength_7,7,2.333333333
Strength_8,8,2.666666667
Strength_9,9,3
Strength_10,10,3.333333333
Strength_11,11,3.666666667
Strength_12,12,4
Strength_13,13,4.333333333
Strength_14,14,4.666666667
Strength_15,15,5
Strength_16,16,5.333333333
Strength_17,17,5.666666667
Strength_18,18,6
Strength_19,19,6.333333333
Strength_20,20,6.666666667
Strength_21,21,7
Strength_22,22,7.333333333
Strength_23,23,7.666666667
Strength_24,24,8
Strength_25,25,8.333333333
Strength_26,26,8.666666667
Strength_27,27,9
Strength_28,28,9.333333333
Strength_29,29,9.666666667
Strength_30,30,10
Strength_31,31,10.5
Strength_32,32,11
Strength_33,33,11.5
Strength_34,34,12
Strength_35,35,12.5
Strength_36,36,13
Strength_37,37,13.5
Strength_38,38,14
Strength_39,39,14.5
Strength_40,40,15
Strength_41,41,15.75018755
Strength_42,42,16.50037509
Strength_43,43,17.25056264
Strength_44,44,18.00075019
Strength_45,45,18.75093773
Strength_46,46,19.50112528
Strength_47,47,20.25131283
Strength_48,48,21.00150038
Strength_49,49,21.75168792
Strength_50,50,22.50187547
Strength_51,51,23.25206302
Strength_52,52,24.00225056
Strength_53,53,24.75243811
Strength_54,54,25.50262566
Strength_55,55,26.2528132
Strength_56,56,27.00300075
Strength_57,57,27.7531883
Strength_58,58,28.50337584
Strength_59,59,29.25356339
Strength_60,60,30
Strength_61,61,30.25641026
Strength_62,62,30.51282051
Strength_63,63,30.76923077
Strength_64,64,31.02564103
Strength_65,65,31.28205128
Strength_66,66,31.53846154
Strength_67,67,31.79487179
Strength_68,68,32.05128205
Strength_69,69,32.30769231
Strength_70,70,32.56410256
Strength_71,71,32.82051282
Strength_72,72,33.07692308
Strength_73,73,33.33333333
Strength_74,74,33.58974359
Strength_75,75,33.84615385
Strength_76,76,34.1025641
Strength_77,77,34.35897436
Strength_78,78,34.61538462
Strength_79,79,34.87179487
Strength_80,80,35.12820513
Strength_81,81,35.38461538
Strength_82,82,35.64102564
Strength_83,83,35.8974359
Strength_84,84,36.15384615
Strength_85,85,36.41025641
Strength_86,86,36.66666667
Strength_87,87,36.92307692
Strength_88,88,37.17948718
Strength_89,89,37.43589744
Strength_90,90,37.69230769
Strength_91,91,37.94871795
Strength_92,92,38.20512821
Strength_93,93,38.46153846
Strength_94,94,38.71794872
Strength_95,95,38.97435897
Strength_96,96,39.23076923
Strength_97,97,39.48717949
Strength_98,98,39.74358974
Strength_99,99,40
